date,tag_count,image_count,latest_images,arm_images,arm64_images,ppc64le_images,x386_images,amd64_images,s390x_images,linux_images,windows_images
2020-01-30 00:00:00,5497,8872,1068,1077,895,664,491,4355,1374,8668,161
2020-01-31 00:00:00,5504,8899,1080,1081,907,673,498,4351,1373,8690,166
2020-02-01 00:00:00,5504,8936,1078,1087,913,701,499,4336,1384,8732,161
2020-02-02 00:00:00,5506,9169,1133,1131,970,739,520,4368,1425,8996,130
2020-02-03 00:00:00,5512,9075,1161,1140,969,671,515,4380,1384,8886,146
2020-02-04 00:00:00,5517,9079,1163,1140,968,686,515,4370,1384,8890,146
2020-02-05 00:00:00,5520,9109,1163,1162,965,685,537,4356,1388,8920,146
2020-02-06 00:00:00,5521,9016,1146,1116,968,658,524,4361,1373,8816,157
2020-02-07 00:00:00,5528,9014,1144,1113,957,640,530,4387,1371,8799,172
2020-02-08 00:00:00,5528,9066,1142,1091,967,690,530,4387,1385,8851,172
2020-02-09 00:00:00,5528,9103,1142,1091,976,700,530,4397,1393,8888,172
2020-02-10 00:00:00,5532,9094,1142,1091,977,688,530,4401,1391,8879,172
2020-02-11 00:00:00,5519,8961,1140,1090,942,641,531,4350,1391,8750,168
2020-02-12 00:00:00,5521,8992,1132,1093,952,674,531,4326,1399,8785,163
2020-02-13 00:00:00,5524,9052,1132,1106,959,674,525,4386,1385,8843,165
2020-02-14 00:00:00,5524,8995,1151,1109,946,643,525,4382,1373,8782,169
2020-02-15 00:00:00,5531,9001,1156,1109,946,666,518,4379,1366,8793,164
2020-02-16 00:00:00,5531,9001,1156,1109,946,696,518,4349,1366,8793,164
2020-02-17 00:00:00,5531,8998,1156,1109,944,686,518,4358,1366,8790,164
2020-02-18 00:00:00,5532,9003,1157,1119,947,656,518,4380,1366,8795,164
2020-02-19 00:00:00,5533,9004,1157,1123,947,692,518,4341,1366,8796,164
2020-02-20 00:00:00,5538,8949,1169,1080,929,676,510,4375,1362,8695,209
2020-02-21 00:00:00,5541,8925,1153,1079,933,656,502,4387,1351,8687,194
2020-02-22 00:00:00,5535,9003,1165,1086,940,682,511,4383,1384,8774,185
2020-02-23 00:00:00,5545,9013,1165,1086,940,702,511,4373,1384,8784,185
2020-02-24 00:00:00,5544,9009,1158,1093,940,682,511,4382,1384,8780,185
2020-02-25 00:00:00,5552,9010,1160,1078,938,703,511,4358,1405,8781,185
2020-02-26 00:00:00,5553,9101,1171,1122,958,689,517,4393,1405,8888,169
2020-02-27 00:00:00,5553,9124,1170,1127,986,672,520,4406,1396,8928,152
2020-02-28 00:00:00,5556,9155,1173,1136,991,683,520,4408,1400,8959,152
2020-02-29 00:00:00,5564,9142,1151,1127,980,687,527,4412,1392,8935,163
2020-03-01 00:00:00,5564,9142,1152,1127,980,687,527,4412,1392,8935,163
2020-03-03 00:00:00,5568,9138,1151,1119,979,686,527,4385,1425,8931,163
2020-03-04 00:00:00,5570,9150,1158,1114,981,695,529,4407,1407,8943,163
2020-03-05 00:00:00,5571,9150,1159,1117,982,703,531,4405,1394,8942,163
2020-03-06 00:00:00,5583,9174,1139,1132,983,704,535,4407,1395,8966,163
2020-03-07 00:00:00,5587,9250,1157,1159,988,716,522,4428,1419,9007,198
2020-03-08 00:00:00,5587,9250,1157,1129,988,726,522,4428,1439,9007,198
2020-03-09 00:00:00,5588,9251,1157,1149,988,726,522,4429,1419,9008,198
2020-03-10 00:00:00,5594,9281,1163,1130,990,751,522,4451,1419,9041,195
2020-03-11 00:00:00,5588,9138,1154,1140,976,713,518,4384,1389,8919,174
2020-03-12 00:00:00,5588,9060,1160,1112,955,679,504,4417,1375,8820,195
2020-03-13 00:00:00,5590,9053,1160,1109,952,679,501,4419,1375,8813,195
2020-03-14 00:00:00,5605,9057,1173,1105,950,707,499,4405,1373,8811,201
2020-03-15 00:00:00,5613,9065,1176,1105,950,677,499,4443,1373,8819,201
2020-03-16 00:00:00,5613,9065,1176,1105,972,677,499,4421,1373,8819,201
2020-03-17 00:00:00,5617,9069,1182,1105,950,717,499,4407,1373,8823,201
2020-03-18 00:00:00,5617,9089,1185,1105,962,679,512,4429,1384,8843,201
2020-03-19 00:00:00,5659,9078,1197,1088,940,676,500,4486,1370,8801,232
2020-03-20 00:00:00,5661,9290,1189,1130,991,724,511,4504,1412,9050,195
